證券代號,證券名稱,開盤價,收盤價,漲跌價差,成交筆數
00753L,中信中國50正2,"489,000","9,578,780",19.40,20.00
00757,統一FANG+,"412,000","8,042,890",19.68,19.75
00762,元大全球AI,"457,250","8,898,295",19.70,19.70
00763U,街口道瓊銅,"43,000","695,380",16.24,16.24
00766L,台新MSCI中國正2,"404,000","3,113,240",7.80,7.83
00767,FH美國金融股,"1,000","16,600",16.60,16.60
00770,國泰北美科技,"105,000","2,086,320",19.80,20.08
00771,元大US高息特別股,"212,815","3,334,828",15.75,15.90
00774B,新光中國政金綠債,"2,000","81,540",40.77,40.77
00774C,新光中政金綠債+R,0,0,0.00,0.00
00775B,新光投等債15+,"2,000","79,200",39.60,39.60
00776,新光ICE美國權值,"2,000","34,700",17.35,17.35
00783,富邦中証500,"1,335,641","24,022,744",17.67,18.03
008201,BP上證50,0,0,0.00,0.00
00830,國泰費城半導體,"1,358,692","17,916,918",13.40,13.40
00850,元大臺灣ESG永續,"8,484,709","157,578,884",18.82,18.85
00851,台新全球AI,"32,000","570,450",17.78,18.01
00852L,國泰美國道瓊正2,"36,008,250","292,061,567",8.13,8.38
00861,元大全球未來通訊,"9,478,779","163,572,705",17.40,17.55
00865B,國泰US短期公債,"99,000","3,899,070",39.43,39.43
00866,新光Shiller CAPE,"34,000","514,230",15.20,15.20
01001T,土銀富邦R1,"404,000","6,566,650",16.30,16.30
01002T,土銀國泰R1,"795,000","13,684,380",17.20,17.30
01003T,兆豐新光R1,"41,000","760,630",18.50,18.70
01004T,土銀富邦R2,"103,000","1,477,280",14.23,14.38
01007T,兆豐國泰R2,"360,000","6,211,190",17.30,17.30
01009T,王道圓滿R1,"49,000","457,630",9.47,9.47
01010T,京城樂富R1,"79,000","784,970",9.90,10.00
020000,富邦特選蘋果N,"270,000","1,162,220",4.35,4.35
020002,元富新中國N,0,0,0.00,0.00
020004,兆豐電菁英30N,"4,000","75,480",18.87,18.87
020005,永豐外資50N,0,0,0.00,0.00
020006,永昌中小300N,0,0,0.00,0.00
020007,凱基臺灣500N,0,0,0.00,0.00
020008,元大特股高息N,"52,000","509,380",9.80,9.82
020011,統一微波高息20N,"16,000","65,760",4.11,4.11
020012,富邦行動通訊N,"1,816,000","7,159,580",3.98,3.98
1101,台泥,"36,467,777","1,343,606,922",37.30,37.50
1101B,台泥乙特,"86,195","4,604,393",53.40,53.80
1102,亞泥,"10,728,627","408,137,154",38.20,38.75
1103,嘉泥,"1,748,006","26,519,790",15.50,15.50
1104,環泥,"551,863","8,360,926",15.40,15.40
1108,幸福,"207,000","1,220,120",5.91,6.00
1109,信大,"298,100","4,359,709",14.50,14.80
1110,東泥,"103,000","1,540,900",15.45,15.45
1201,味全,"2,010,607","34,563,135",17.35,17.55
1203,味王,"112,011","2,827,847",25.15,25.40
1210,大成,"2,788,796","97,820,786",35.85,35.85
1213,大飲,"77,100","391,088",5.56,5.56
1215,卜蜂,"1,061,980","54,660,056",51.90,52.10
1216,統一,"18,256,131","1,156,887,853",64.50,64.50
1217,愛之味,"2,184,535","13,132,909",5.92,6.10
1218,泰山,"1,311,243","25,257,983",19.80,19.90
1219,福壽,"174,750","3,087,036",17.10,18.70
1220,台榮,"126,000","1,184,020",9.50,9.60
1225,福懋油,"90,017","2,615,045",29.00,29.30
1227,佳格,"2,754,013","147,727,894",53.10,54.70
1229,聯華,"3,955,634","126,358,933",31.90,32.35
1231,聯華食,"369,641","12,625,812",34.20,34.30
1232,大統益,"197,081","20,009,762",102.00,102.50
1233,天仁,"133,500","4,401,450",32.90,33.30
1234,黑松,"219,307","6,338,987",29.05,29.50
1235,興泰,"50,286","1,170,119",23.35,23.80
1236,宏亞,"44,256","465,907",10.65,10.70
1256,鮮活果汁-KY,"171,836","30,406,800",180.00,181.00
1301,台塑,"24,594,228","1,764,474,498",74.40,74.40
1303,南亞,"18,968,989","1,020,676,117",56.50,56.50
1304,台聚,"1,964,664","18,926,243",9.66,9.75
1305,華夏,"5,992,130","79,101,440",14.10,14.20
1307,三芳,"325,443","5,585,361",17.60,17.60
1308,亞聚,"1,625,727","21,676,491",13.55,13.65
1309,台達化,"809,635","6,240,585",7.66,7.80
1310,台苯,"3,498,664","46,763,514",13.70,13.75
1312,國喬,"5,084,496","61,762,873",12.40,12.50
1312A,國喬特,"45,000","1,356,300",30.40,30.50
1313,聯成,"1,944,225","15,632,840",8.03,8.10
1314,中石化,"24,637,860","170,957,990",6.84,7.08
1315,達新,"1,437,536","63,227,739",44.50,44.65
1316,上曜,"1,147,850","9,599,135",8.20,8.49
1319,東陽,"1,809,027","53,436,814",30.00,30.20
1321,大洋,"362,000","8,380,700",23.10,23.80
1323,永裕,"330,555","9,598,771",29.85,29.85
1324,地球,"47,000","355,210",8.09,8.09
1325,恆大,"13,317,989","506,953,832",38.45,39.40
1326,台化,"20,728,266","1,312,997,770",65.90,65.90
1337,再生-KY,"662,119","2,454,552",3.68,3.78
1338,廣華-KY,"334,127","12,556,340",38.10,38.85
1339,昭輝,"255,000","8,523,500",34.25,34.25
1340,勝悅-KY,"536,577","4,602,518",8.80,8.98
1341,富林-KY,"8,020","465,665",57.00,59.10
1402,遠東新,"11,750,252","264,417,935",22.70,22.80
1409,新纖,"3,471,517","33,607,977",9.63,9.80
1410,南染,"41,563","1,146,212",27.65,27.85
1413,宏洲,"99,049","656,037",6.50,6.70
1414,東和,"154,031","848,724",5.50,5.55
1416,廣豐,"230,791","2,324,459",10.10,10.20
1417,嘉裕,"380,090","2,843,976",7.63,7.71
1418,東華,"1,039","7,205",6.96,6.96
1419,新紡,"47,001","1,743,737",37.10,37.45
1423,利華,"71,800","642,550",8.94,9.08
1432,大魯閣,"318,000","1,233,800",3.71,4.00
1434,福懋,"3,846,836","111,187,322",29.00,29.35
1435,中福,"431,009","2,979,227",6.78,7.02
1436,華友聯,"148,697","5,096,272",34.90,35.50
1437,勤益控,"421,250","7,609,200",18.20,18.45
1438,裕豐,"21,792","233,163",10.70,10.80
1439,中和,"392,000","11,515,950",29.80,30.50
1440,南紡,"1,634,251","13,110,823",8.10,8.11
1441,大東,"182,054","1,119,921",6.00,6.38
1442,名軒,"341,466","5,161,208",15.20,15.40
1443,立益,"90,893","796,926",8.60,8.95
1444,力麗,"1,955,488","12,922,608",6.60,6.69
1445,大宇,"247,356","1,524,358",6.05,6.21
1446,宏和,"371,045","7,787,858",21.00,21.45
1447,力鵬,"1,104,212","5,517,460",4.96,5.02
1449,佳和,"1,032,278","10,294,873",10.00,10.30
1451,年興,"473,017","7,651,222",16.70,16.70
1452,宏益,"611,159","10,136,800",16.85,16.85
1453,大將,"43,009","285,431",6.81,6.82
1454,台富,"154,000","1,048,230",6.77,6.89
1455,集盛,"1,547,503","7,723,374",5.02,5.10
1456,怡華,"32,000","204,090",6.60,6.60
1457,宜進,"622,000","6,325,650",10.10,10.30
1459,聯發,"186,339","1,066,033",5.71,5.86
1460,宏遠,"806,898","4,464,790",5.52,5.68
1463,強盛,"360,000","3,683,700",10.25,10.30
1464,得力,"1,117,150","19,957,395",17.60,18.10
1465,偉全,"438,000","6,305,100",14.45,14.65
1466,聚隆,"54,002","324,412",5.78,6.19
1467,南緯,"648,060","4,393,719",6.64,7.13
1468,昶和,"26,000","226,750",8.68,9.08
1470,大統新創,"14,003","258,361",17.30,19.65
1471,首利,"158,736","259,396",1.60,1.66
1472,三洋紡,"32,070","453,788",14.15,14.15
1473,台南,"348,836","8,179,401",24.50,24.50
1474,弘裕,"436,058","3,673,091",8.33,8.58
1475,本盟,"10,404","66,520",6.41,6.42
1476,儒鴻,"1,989,237","496,829,192",263.00,263.00
1477,聚陽,"4,170,701","477,658,051",118.00,120.00
1503,士電,"259,456","10,319,123",39.85,40.50
1504,東元,"8,387,555","208,360,320",24.70,25.05
1506,正道,"142,128","1,423,059",10.25,10.25
1507,永大,"220,109","12,568,744",57.50,57.80
1512,瑞利,"112,495","336,262",3.00,3.00
1513,中興電,"2,196,831","48,065,424",21.75,22.10
1514,亞力,"1,469,525","22,119,630",15.20,15.35
1515,力山,"1,283,394","58,234,180",45.65,46.30
1516,川飛,"118,475","1,653,237",13.95,14.10
1517,利奇,"468,091","3,022,470",6.60,6.64
1519,華城,"1,041,994","23,559,411",23.05,23.30
1521,大億,"196,062","10,251,386",53.30,53.30
1522,堤維西,"773,269","14,027,795",18.45,18.60
1524,耿鼎,"667,004","5,747,642",8.50,8.78
1525,江申,"79,000","3,190,500",41.00,41.00
1526,日馳,"480,955","7,169,770",14.95,15.20
1527,鑽全,"1,073,294","39,996,178",37.60,38.00
1528,恩德,"413,641","2,375,536",5.70,5.89
1529,樂士,"189,882","2,162,061",12.65,12.65
1530,亞崴,"46,240","1,226,012",26.45,26.60
1531,高林股,"679,869","6,634,414",10.20,10.20
1532,勤美,"535,915","12,440,753",23.00,23.85
1533,車王電,"161,200","3,859,700",23.65,25.00
1535,中宇,"140,365","3,903,687",28.20,28.25
1536,和大,"1,569,958","138,471,655",88.30,89.70
1537,廣隆,"338,900","43,743,000",129.50,131.00
1538,正峰新,"115,015","335,276",2.91,3.00
1539,巨庭,"116,642","1,478,508",12.90,13.00
1540,喬福,"384,449","5,764,934",15.10,15.20
1541,錩泰,"331,089","8,776,838",28.40,28.45
1558,伸興,"378,422","44,108,083",118.00,118.50
1560,中砂,"432,360","22,025,160",51.00,51.50
1568,倉佑,"168,900","2,203,731",13.15,13.30
1582,信錦,"856,706","57,451,337",68.00,68.40
1583,程泰,"35,000","1,867,800",53.00,56.90
1587,吉茂,"154,445","1,504,255",10.50,10.50
1589,永冠-KY,"395,000","19,959,700",51.70,51.70
1590,亞德客-KY,"2,875,736","1,074,126,715",376.00,384.50
1592,英瑞-KY,"1,424,152","15,856,697",10.95,11.60
1598,岱宇,"1,014,989","36,584,150",35.65,36.60
1603,華電,"226,012","6,314,529",27.20,28.50
1604,聲寶,"1,998,167","34,498,407",17.20,17.65
1605,華新,"20,822,385","238,915,798",11.00,11.80
1608,華榮,"915,213","6,315,211",6.75,7.06
1609,大亞,"3,096,331","24,096,854",7.85,7.89
1611,中電,"1,137,250","13,329,054",11.55,11.95
1612,宏泰,"444,205","3,876,407",8.80,8.80
1614,三洋電,"121,002","3,077,000",25.65,26.20
1615,大山,"194,661","3,435,217",17.45,17.95
1616,億泰,"52,083","197,857",3.72,3.90
1617,榮星,"13,029","128,575",9.89,9.89
1618,合機,"251,345","1,642,844",6.52,6.64
1626,艾美特-KY,"254,913","5,190,933",19.80,20.75
1701,中化,"1,839,354","31,903,722",17.50,17.70
1702,南僑,"458,936","17,829,543",39.00,39.15
1707,葡萄王,"1,270,221","264,774,953",210.00,213.00
1708,東鹼,"359,624","7,581,829",21.40,21.40
1709,和益,"1,463,165","16,646,226",11.65,11.65
1710,東聯,"3,258,219","49,671,025",15.55,15.75
1711,永光,"1,853,656","22,657,102",12.70,12.75
1712,興農,"1,219,363","20,599,853",16.90,17.00
1713,國化,"148,533","2,360,710",15.65,16.20
1714,和桐,"6,704,838","38,441,890",5.88,5.88
1717,長興,"1,882,452","41,945,948",22.40,22.55
1718,中纖,"5,937,580","31,199,333",5.23,5.33
1720,生達,"431,134","13,016,872",30.00,30.70
1721,三晃,"456,836","4,003,679",8.78,8.88
1722,台肥,"5,810,362","241,938,802",40.95,42.25
1723,中碳,"1,009,326","96,210,657",97.00,97.20
1724,台硝,"74,425","790,865",10.90,10.90
1725,元禎,"42,151","541,035",12.80,13.05
1726,永記,"94,325","5,955,908",64.00,64.00
1727,中華化,"163,941","1,416,710",8.97,8.97
1730,花仙子,"596,308","32,325,736",54.00,55.00
1731,美吾華,"714,014","8,548,011",11.90,12.10
1732,毛寶,"5,184,533","137,317,558",26.75,26.95
1733,五鼎,"568,645","11,157,242",20.00,20.00
1734,杏輝,"932,988","14,966,471",16.50,16.60
1735,日勝化,"66,000","1,074,550",16.10,16.40
1736,喬山,"1,309,284","61,639,464",47.50,48.20
1737,臺鹽,"402,725","11,502,650",28.60,28.75
1760,寶齡富錦,"901,154","52,234,889",61.00,61.00
1762,中化生,"1,910,910","57,915,265",31.20,31.30
1773,勝一,"300,158","25,445,345",86.30,86.30
1776,展宇,"109,000","1,861,450",17.00,17.25
1783,和康生,"324,000","4,918,950",15.60,15.60
1786,科妍,"466,111","19,243,962",41.15,42.20
1789,神隆,"6,868,509","177,666,601",27.00,27.00
1795,美時,"6,731,760","364,521,280",58.90,58.90
1802,台玻,"4,152,999","30,142,392",7.41,7.50
1805,寶徠,"18,500","150,160",8.40,8.40
1806,冠軍,"405,258","1,807,030",4.50,4.57
1808,潤隆,"646,560","29,195,799",46.30,46.50
1809,中釉,"810,180","5,757,325",7.17,7.21
1810,和成,"442,150","2,656,548",6.08,6.09
1817,凱撒衛,"211,968","5,646,836",27.30,27.35
1902,台紙,"1,151,782","23,107,672",20.10,20.15
1903,士紙,"84,087","2,180,964",26.45,27.00
1904,正隆,"7,072,938","141,175,176",20.45,20.65
1905,華紙,"1,820,535","12,244,598",6.75,6.79
1906,寶隆,"459,500","5,091,350",11.30,11.40
1907,永豐餘,"4,937,085","53,572,658",11.05,11.25
1909,榮成,"15,842,821","195,447,302",12.75,13.00
2002,中鋼,"35,354,413","686,222,119",19.50,19.65
2002A,中鋼特,"101,115","5,028,624",50.00,50.00
2006,東和鋼鐵,"2,439,557","52,839,759",21.95,21.95
2007,燁興,"197,037","687,734",3.49,3.65
2008,高興昌,"150,032","1,829,237",12.20,12.25
2009,第一銅,"359,000","2,151,990",6.00,6.15
2010,春源,"607,409","5,387,877",9.00,9.05
2012,春雨,"87,406","1,490,931",16.70,17.40
2013,中鋼構,"473,408","8,831,207",18.85,18.95
2014,中鴻,"6,260,739","38,717,961",6.30,6.31
2015,豐興,"1,244,206","59,284,841",48.55,48.55
2017,官田鋼,"1,721,402","10,648,215",6.00,6.28
2020,美亞,"397,160","5,763,753",14.50,14.65
2022,聚亨,"840,328","3,062,863",3.63,3.70
2023,燁輝,"3,536,165","28,532,340",8.01,8.18
2024,志聯,"339,043","4,198,880",12.15,12.55
2025,千興,"258,500","379,123",1.49,1.50
2027,大成鋼,"6,036,008","164,799,848",27.45,27.70
2028,威致,"303,887","2,789,229",9.15,9.27
2029,盛餘,"317,249","5,024,508",15.80,16.00
2030,彰源,"399,662","3,775,524",9.45,9.53
2031,新光鋼,"3,476,868","69,542,278",20.90,21.10
2032,新鋼,"161,604","1,161,234",7.20,7.34
2033,佳大,"103,000","780,880",7.62,7.69
2034,允強,"968,860","22,126,771",23.00,23.10
2038,海光,"318,000","1,645,870",5.01,5.28
2049,上銀,"4,195,409","859,169,800",212.00,212.50
2059,川湖,"396,045","120,176,815",304.00,310.00
2062,橋椿,"408,500","6,309,425",15.90,15.95
2069,運錩,"354,950","4,288,361",12.35,12.70
2101,南港,"5,297,099","214,550,669",39.60,41.50
2102,泰豐,"2,702,805","25,371,851",9.27,9.84
2103,台橡,"1,919,776","29,911,428",15.85,16.05
2104,國際中橡,"3,670,590","78,404,189",21.60,21.70
2105,正新,"14,962,742","493,823,736",33.00,33.20
2106,建大,"1,125,259","30,555,514",27.10,27.35
2107,厚生,"1,772,916","25,102,641",14.45,14.50
2108,南帝,"628,664","15,485,859",24.60,25.10
2109,華豐,"549,886","6,024,407",11.20,11.20
2114,鑫永銓,"202,007","14,186,590",72.90,74.50
2115,六暉-KY,"55,598","1,905,471",34.60,34.60
2201,裕隆,"3,648,029","59,937,204",16.70,16.80
2204,中華,"913,252","25,186,722",28.10,28.30
2206,三陽工業,"2,365,056","47,098,547",19.95,20.05
2207,和泰車,"1,416,742","556,158,508",403.50,415.00
2208,台船,"1,226,283","21,053,661",17.45,17.45
2227,裕日車,"126,201","26,613,215",214.50,214.50
2228,劍麟,"500,060","33,992,740",68.40,69.50
2231,為升,"3,313,482","362,288,847",117.00,118.00
2233,宇隆,"346,657","16,579,830",48.15,49.00
2236,百達-KY,"7,000","107,200",15.30,15.80
2239,英利-KY,"101,178","5,120,756",51.80,51.80
2243,宏旭-KY,"25,000","236,760",9.50,9.56
2301,光寶科,"11,767,747","464,627,683",39.80,40.15
2302,麗正,"159,004","796,281",5.04,5.05
2303,聯電,"90,628,139","1,253,166,496",13.80,14.00
2305,全友,"532,212","2,114,484",3.99,4.07
2308,台達電,"7,516,116","873,072,456",116.00,119.00
2312,金寶,"4,981,427","49,611,869",10.15,10.30
2313,華通,"34,696,866","951,035,672",28.25,28.50
2314,台揚,"1,638,542","22,955,092",14.20,14.40
2316,楠梓電,"3,998,619","98,148,835",24.80,25.15
2317,鴻海,"76,268,240","5,378,721,353",70.70,71.30
2321,東訊,151,188,0.00,0.00
2323,中環,"17,112,877","114,492,475",6.79,6.89
2324,仁寶,"24,219,785","398,878,966",16.40,16.60
2327,國巨,"27,465,524","7,296,200,644",273.00,275.00
2328,廣宇,"2,275,221","36,217,770",16.00,16.10
2329,華泰,"4,031,031","36,503,660",9.00,9.23
2330,台積電,"118,620,643","31,555,231,792",269.50,272.50
2331,精英,"1,216,022","10,157,869",8.42,8.45
2332,友訊,"5,324,846","48,537,444",9.30,9.33
2337,旺宏,"57,693,817","1,469,948,875",26.15,26.30
2338,光罩,"7,186,959","170,992,498",24.30,24.50
2340,光磊,"2,974,535","47,191,882",16.40,16.45
2342,茂矽,"8,665,494","196,081,182",24.20,24.20
2344,華邦電,"38,512,699","448,586,151",11.80,11.90
2345,智邦,"9,022,798","1,526,143,170",171.50,172.50
2347,聯強,"9,600,059","336,446,884",34.70,35.45
2348,海悅,"497,341","22,766,853",45.50,46.65
2349,錸德,"4,408,335","17,249,586",3.88,4.00
2351,順德,"753,100","29,966,930",41.00,41.50
2352,佳世達,"7,202,151","110,498,715",15.60,15.65
2353,宏碁,"16,568,603","223,969,477",13.50,13.65
2354,鴻準,"5,265,550","264,382,846",50.60,50.90
2355,敬鵬,"1,177,519","25,715,208",22.00,22.20
2356,英業達,"9,058,383","180,606,259",19.90,20.20
2357,華碩,"3,354,908","619,861,421",185.00,187.00
2358,廷鑫,"577,000","5,934,630",10.45,10.75
2359,所羅門,"694,617","10,749,955",15.55,15.80
2360,致茂,"3,469,258","382,723,944",115.00,115.00
2362,藍天,"728,547","19,754,663",27.20,27.40
2363,矽統,"2,970,192","17,125,057",5.90,5.96
2364,倫飛,"168,123","263,562",1.58,1.60
2365,昆盈,"1,164,612","6,648,137",5.51,5.85
2367,燿華,"11,925,889","210,806,134",17.90,18.10
2368,金像電,"126,738,996","2,501,663,661",20.60,20.90
2369,菱生,"2,451,824","19,825,407",8.40,8.40
2371,大同,"9,223,956","170,482,090",18.35,19.05
2373,震旦行,"183,327","14,885,087",83.30,83.80
2374,佳能,"611,373","6,496,509",10.50,10.95
2375,凱美,"2,379,630","68,685,405",29.25,29.60
2376,技嘉,"8,594,020","357,803,550",43.00,43.45
2377,微星,"4,888,748","370,826,122",77.40,78.00
2379,瑞昱,"5,435,308","995,527,440",182.50,187.00
2380,虹光,"147,683","495,100",3.40,3.42
2382,廣達,"12,345,681","686,311,678",55.40,56.30
2383,台光電,"5,210,896","537,576,556",101.50,105.50
2385,群光,"3,330,042","253,522,791",76.00,76.90
2387,精元,"3,542,657","88,312,850",25.40,26.00
2388,威盛,"1,000,463","19,681,769",20.20,20.55
2390,云辰,"5,057,100","33,382,309",5.87,6.72
2392,正崴,"2,891,806","77,291,152",27.10,27.35
2393,億光,"3,566,380","86,940,036",24.70,25.15
2395,研華,"2,262,074","553,208,863",235.00,250.00
2397,友通,"389,760","23,991,119",63.40,63.80
2399,映泰,"8,478,000","62,888,320",6.90,7.60
2401,凌陽,"1,440,216","12,040,108",8.46,8.56
2402,毅嘉,"1,399,993","14,550,513",10.15,10.55
2404,漢唐,"2,031,207","299,516,015",150.00,151.00
2405,浩鑫,"1,885,000","12,579,090",6.46,6.75
2406,國碩,"1,507,524","13,378,370",9.00,9.30
2408,南亞科,"21,734,141","1,144,418,607",55.50,55.90
2409,友達,"112,842,850","822,144,252",7.36,7.41
2412,中華電,"17,985,225","1,907,565,380",107.00,107.00
2413,環科,"306,671","2,774,488",9.30,9.30
2414,精技,"567,520","11,535,152",20.45,20.55
2415,錩新,"561,229","6,576,664",12.00,12.10
2417,圓剛,"3,156,309","30,139,413",9.94,9.94
2419,仲琦,"1,428,832","24,531,644",17.30,17.60
2420,新巨,"626,180","18,028,625",29.15,29.20
2421,建準,"2,539,402","84,000,516",33.50,33.70
2423,固緯,"484,050","10,074,325",20.80,21.50
2424,隴華,"3,000","63,000",21.00,21.00
2425,承啟,"681,236","17,246,123",24.70,25.90
2426,鼎元,"1,201,106","11,175,621",9.50,9.50
2427,三商電,"515,207","4,717,341",9.40,9.40
2428,興勤,"402,305","27,001,494",68.20,68.20
2429,銘旺科,"252,000","4,439,350",17.65,18.05
2430,燦坤,"238,380","3,143,096",13.25,13.35
2431,聯昌,"497,000","3,088,920",6.15,6.48
2433,互盛電,"257,500","11,847,425",45.70,46.35
2434,統懋,"122,000","749,960",6.21,6.21
2436,偉詮電,"3,014,573","67,099,410",22.05,22.70
2438,翔耀,"137,000","797,650",5.88,5.90
