sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
復興,高雄市,66,細懸浮微粒,普通,0.6,0.87,19.5,34.7,44,19,26.3,28.6,2.3,0.7,278,"2024-11-14 21:00",,0.4,21.7,43,0,120.312017,22.608711,71
永和,新北市,11,,良好,,0.19,10.4,9.9,2,0,3.7,6.4,2.6,1.8,91,"2024-11-14 21:00",,0.2,3.3,6,0,121.516306,25.017,70
竹山,南投縣,151,細懸浮微粒,對所有族群不健康,1.6,0.42,25.7,44.0,108,67,15.4,15.6,0.2,0.6,316,"2024-11-14 21:00",,0.4,55.1,93,1,120.677306,23.756389,69
中壢,桃園市,152,細懸浮微粒,對所有族群不健康,1.8,1.3,8.5,23.3,95,70,39.5,66.8,27.2,0.2,347,"2024-11-14 21:00",,1,55.8,80,1,121.221667,24.953278,68
三重,新北市,24,,良好,0.5,0.69,3.9,3.0,9,6,12.3,43.1,30.8,-,-,"2024-11-14 21:00",,0.8,7.3,13,0,121.493806,25.072611,67
冬山,宜蘭縣,16,,良好,2,0.14,4.6,10.7,11,1,5.3,7.5,2.2,0.9,158,"2024-11-14 21:00",,0.1,4,16,0,121.792928,24.632203,66
宜蘭,宜蘭縣,11,,良好,0.4,0.13,8.9,9.8,3,2,3.7,4.7,0.9,1.1,47,"2024-11-14 21:00",,0.1,3.5,11,0,121.746394,24.747917,65
陽明,臺北市,13,,良好,0.6,0.09,12.3,14.2,8,0,0.8,1.7,0.8,,,"2024-11-14 21:00",,0,0.9,8,0,121.529583,25.182722,64
花蓮,花蓮縣,25,,良好,0.8,0.24,3.5,10.8,14,8,6.3,8.2,1.8,1,271,"2024-11-14 21:00",,0.1,6.3,25,1,121.599769,23.971306,63
臺東,臺東縣,7,,良好,0.5,0.06,7.2,8.1,5,0,2.6,4.1,1.5,2.2,293,"2024-11-14 21:00",,0.1,1,7,0,121.15045,22.755358,62
恆春,屏東縣,12,,良好,0.5,0.09,12.3,13.4,1,0,0.7,1.6,0.9,7.2,36,"2024-11-14 21:00",,0,1.1,4,0,120.788928,21.958069,61
潮州,屏東縣,73,細懸浮微粒,普通,1,0.23,31.2,51.0,61,29,8.2,9.1,0.9,0.4,115,"2024-11-14 21:00",,0.2,24.4,49,1,120.561175,22.523108,60
屏東,屏東縣,70,細懸浮微粒,普通,1.3,0.46,,,62,33,14.3,15.2,0.8,0.8,287,"2024-11-14 21:00",,0.3,23.3,52,1,120.488033,22.673081,59
小港,高雄市,64,細懸浮微粒,普通,0.6,0.59,17.4,30.7,47,17,26.7,27.9,1.1,1,316,"2024-11-14 21:00",,0.3,20.9,53,1,120.337736,22.565833,58
前鎮,高雄市,70,細懸浮微粒,普通,1.3,0.72,20.2,36.9,48,27,25.5,28,2.5,1.4,356,"2024-11-14 21:00",,0.3,23.3,45,1,120.30833356,22.6044507,57
前金,高雄市,63,細懸浮微粒,普通,0.9,0.39,10.8,32.2,69,25,34.8,44.2,9.3,2.4,4,"2024-11-14 21:00",,0.2,20.2,55,0,120.28676111,22.63390278,56
左營,高雄市,54,細懸浮微粒,普通,1,0.49,20.5,36.5,56,21,19.3,20.1,0.8,1.4,356,"2024-11-14 21:00",,0.2,16.9,43,0,120.292917,22.674861,54
楠梓,高雄市,60,細懸浮微粒,普通,1.4,0.33,21.9,38.3,59,23,17.9,19.1,1.1,0.8,323,"2024-11-14 21:00",,0.2,19.3,54,1,120.328289,22.733667,53
林園,高雄市,76,細懸浮微粒,普通,1.1,0.48,33.5,43.0,80,38,17,17.5,0.4,0.4,231,"2024-11-14 21:00",,0.2,25.7,58,1,120.41175,22.4795,52
大寮,高雄市,79,細懸浮微粒,普通,2,0.53,5.9,33.3,44,31,33.9,36.7,2.8,1.5,332,"2024-11-14 21:00",,0.3,26.7,39,2,120.425311,22.56413611,51
鳳山,高雄市,73,細懸浮微粒,普通,1.5,0.67,14.9,34.6,65,24,26.3,28,1.7,0.5,255,"2024-11-14 21:00",,0.6,24.5,52,1,120.357422,22.628126,50
仁武,高雄市,68,細懸浮微粒,普通,1.3,0.47,14.8,34.2,57,25,29.5,30.3,0.8,1.5,322,"2024-11-14 21:00",,0.3,22.5,47,1,120.332631,22.689056,49
橋頭,高雄市,75,細懸浮微粒,普通,1.2,0.36,20.5,36.8,68,36,18.6,19.7,1.1,1.7,11,"2024-11-14 21:00",,0.2,25.3,55,0,120.305689,22.757506,48
美濃,高雄市,56,細懸浮微粒,普通,0.9,0.28,21.3,37.1,48,20,7.5,8.6,1,0.6,260,"2024-11-14 21:00",,0.2,17.5,38,0,120.530542,22.883583,47
臺南,臺南市,73,細懸浮微粒,普通,1.2,0.35,31,41.3,63,34,15.2,16.3,1.1,1.4,17,"2024-11-14 21:00",,0.3,24.6,52,0,120.21947897,22.98928311,46
安南,臺南市,75,細懸浮微粒,普通,0.9,0.33,30.4,42.9,66,38,10.5,11.3,0.7,1.2,311,"2024-11-14 21:00",,0.2,25.2,50,0,120.2175,23.048197,45
善化,臺南市,78,細懸浮微粒,普通,1.2,0.27,28.2,41.2,71,39,10.6,11.6,1,1.7,4,"2024-11-14 21:00",,0.2,26.6,56,1,120.29740529,23.11337642,44
新營,臺南市,91,細懸浮微粒,普通,0.4,0.29,22.7,40.0,68,30,12.9,14.8,1.8,1.5,14,"2024-11-14 21:00",,0.2,31.6,66,0,120.31725,23.305633,43
嘉義,嘉義市,130,細懸浮微粒,對敏感族群不健康,18,0.55,22.4,39.8,103,54,19.5,20.5,0.9,1.5,356,"2024-11-14 21:00",,0.3,46.8,87,2,120.44125148,23.46477865,42
臺西,雲林縣,48,,良好,1.4,0.19,25.6,38.5,49,16,9,10.1,1,2.1,23,"2024-11-14 21:00",,0.1,14.9,39,1,120.19933333,23.702175,41
朴子,嘉義縣,65,細懸浮微粒,普通,1.2,0.22,21.7,41.1,48,24,9.1,10.9,1.7,0.9,352,"2024-11-14 21:00",,0.2,21.3,48,1,120.2478,23.46538,40
新港,嘉義縣,80,細懸浮微粒,普通,1.6,0.16,21.5,39.8,41,20,9.5,10.8,1.2,1.6,358,"2024-11-14 21:00",,0.1,27.3,56,1,120.345531,23.554839,39
崙背,雲林縣,99,細懸浮微粒,普通,0.7,0.19,22.5,35.2,55,22,6.4,6.7,0.2,0.7,319,"2024-11-14 21:00",,0.2,34.8,67,0,120.348742,23.757547,38
斗六,雲林縣,153,細懸浮微粒,對所有族群不健康,3.1,0.47,25.8,46.5,100,59,15.9,17.1,1.2,1.3,342,"2024-11-14 21:00",,0.4,58.1,91,1,120.544994,23.711853,37
南投,南投縣,122,細懸浮微粒,對敏感族群不健康,1.1,0.42,18.6,41.2,97,49,19,19.9,0.8,0.3,103,"2024-11-14 21:00",,0.4,43.5,79,1,120.685306,23.913,36
二林,彰化縣,72,細懸浮微粒,普通,0.7,0.17,22.6,39.6,62,16,7.2,8.5,1.3,1.4,336,"2024-11-14 21:00",,0.2,24,63,1,120.409653,23.925175,35
線西,彰化縣,57,細懸浮微粒,普通,1,0.19,29.8,38.3,48,12,6.6,7.1,0.4,1.3,351,"2024-11-14 21:00",,0.1,18,47,1,120.469061,24.131672,34
彰化,彰化縣,84,細懸浮微粒,普通,1.9,0.23,9.5,19.2,42,13,17.1,18.4,1.3,1.2,353,"2024-11-14 21:00",,0.3,29,57,1,120.541519,24.066,33
西屯,臺中市,118,細懸浮微粒,對敏感族群不健康,1.3,0.55,18.5,36.6,71,40,26,27.3,1.3,0.4,286,"2024-11-14 21:00",,0.3,42.1,78,1,120.616917,24.162197,32
忠明,臺中市,113,細懸浮微粒,對敏感族群不健康,1.4,0.71,20.3,39.7,68,39,28.9,30.7,1.8,1,141,"2024-11-14 21:00",,0.4,40.3,67,1,120.641092,24.151958,31
大里,臺中市,128,細懸浮微粒,對敏感族群不健康,2.4,0.49,11,36.5,63,35,27.7,30,2.3,0.9,242,"2024-11-14 21:00",,0.4,46,74,1,120.67844444,24.09961111,30
沙鹿,臺中市,90,細懸浮微粒,普通,0.9,0.26,12.2,38.4,42,16,16,17.2,1.1,0.5,354,"2024-11-14 21:00",,0.3,31.2,64,1,120.568794,24.225628,29
豐原,臺中市,132,細懸浮微粒,對敏感族群不健康,1.2,0.47,9.9,29.1,84,48,12.8,14.1,1.3,0.5,348,"2024-11-14 21:00",,0.4,47.3,87,1,120.74252414,24.25699731,28
三義,苗栗縣,111,細懸浮微粒,對敏感族群不健康,0.7,0.42,14.9,38.5,56,36,11.4,13,1.5,0.3,229,"2024-11-14 21:00",,0.3,39.3,67,0,120.75956754,24.38248443,27
苗栗,苗栗縣,125,細懸浮微粒,對敏感族群不健康,1.2,0.42,24,45.8,56,47,11.5,12.8,1.3,0.6,339,"2024-11-14 21:00",,0.3,44.7,68,1,120.82011468,24.56499183,26
頭份,苗栗縣,91,細懸浮微粒,普通,2.1,0.23,15.5,45.9,28,14,15.9,17.5,1.5,1,297,"2024-11-14 21:00",,0.3,31.9,55,1,120.89869286,24.69690679,25
新竹,新竹市,109,細懸浮微粒,對敏感族群不健康,2.4,0.44,28.2,48.8,48,30,24.3,25.1,0.8,0.4,204,"2024-11-14 21:00",,0.5,38.7,56,1,120.97236752,24.8056356,24
竹東,新竹縣,113,細懸浮微粒,對敏感族群不健康,0.4,0.52,26.6,49.1,60,41,15.6,16.9,1.2,0.8,3,"2024-11-14 21:00",,0.4,40.2,59,1,121.08895493,24.74091408,23
湖口,新竹縣,124,細懸浮微粒,對敏感族群不健康,0.6,0.32,45.1,53.7,37,37,7.4,7.7,0.3,0.4,210,"2024-11-14 21:00",,0.3,44.4,54,0,121.03886894,24.90009696,22
龍潭,桃園市,153,細懸浮微粒,對所有族群不健康,1.8,0.68,12.7,43.0,87,65,29.5,31.4,1.8,1.6,243,"2024-11-14 21:00",,0.6,57.9,81,1,121.21645772,24.86400048,21
平鎮,桃園市,154,細懸浮微粒,對所有族群不健康,0.6,0.69,8.4,44.3,115,80,32.8,34,1.1,0.6,244,"2024-11-14 21:00",,0.5,60.5,91,1,121.203986,24.952786,20
觀音,桃園市,112,細懸浮微粒,對敏感族群不健康,0.4,0.21,40.3,49.1,,27,10.8,11.2,0.3,1.3,230,"2024-11-14 21:00",,0.2,39.7,68,1,121.08283092,25.03556747,19
大園,桃園市,96,細懸浮微粒,普通,2.6,0.33,44.6,42.7,55,26,11,12.1,1,1.4,239,"2024-11-14 21:00",,0.4,33.9,60,2,121.20251473,25.06100357,18
桃園,桃園市,99,細懸浮微粒,普通,2.4,0.76,2.6,31.8,58,35,39.1,46.3,7.1,0.8,259,"2024-11-14 21:00",,0.6,34.8,58,2,121.30500531,24.9947107,17
大同,臺北市,29,,良好,1.5,1.16,2.5,,6,6,14.1,65.7,51.5,-,-,"2024-11-14 21:00",,1.3,9,10,1,121.51342074,25.06331455,16
松山,臺北市,8,,良好,0.6,0.14,7.7,8.3,1,0,5.8,11.1,5.3,1.6,23,"2024-11-14 21:00",,0.1,2.2,8,0,121.578611,25.05,15
古亭,臺北市,10,,良好,0,0.11,11.6,11.4,0,1,2.1,3.5,1.4,2.8,56,"2024-11-14 21:00",,0.1,1.5,5,,121.529556,25.020608,14
萬華,臺北市,13,,良好,1.6,0.2,5.5,4.6,4,0,8,12.6,4.5,2.3,87,"2024-11-14 21:00",,0.2,1.1,9,1,121.507972,25.046503,13
中山,臺北市,,,,,,,,,,,,,,,"2024-11-14 21:00",,,,,,121.526528,25.062361,12
士林,臺北市,9,,良好,0.1,0.13,10.5,9.9,6,1,4.6,5.3,0.6,1.3,116,"2024-11-14 21:00",,0.1,2.5,9,0,121.51666356,25.10334003,11
淡水,新北市,21,,良好,1,0.09,11.9,23.3,10,0,3.6,4.2,0.6,,,"2024-11-14 21:00",,0.1,3.8,16,1,121.449239,25.1645,10
林口,新北市,10,,良好,0,0.16,8.7,6.9,4,0,6.5,8,1.5,2.3,125,"2024-11-14 21:00",,0.2,2.5,7,0,121.36548982,25.07798949,9
菜寮,新北市,16,,良好,0.5,0.26,7.2,8.4,3,3,8.6,12,3.4,2.9,98,"2024-11-14 21:00",,0.2,5,7,0,121.481028,25.06895,8
新莊,新北市,23,,良好,0.6,0.16,10.4,8.6,8,6,4.4,5.3,0.9,3,77,"2024-11-14 21:00",,0.2,7.2,16,0,121.4325,25.037972,7
板橋,新北市,15,,良好,0.3,0.3,6.8,6.7,2,1,9.7,14,4.2,1.8,28,"2024-11-14 21:00",,0.3,3.8,8,0,121.458667,25.012972,6
土城,新北市,16,,良好,0.5,0.14,13,10.5,7,4,3.5,4.4,0.8,1,138,"2024-11-14 21:00",,0.2,4.8,11,0,121.451861,24.982528,5
新店,新北市,23,,良好,0.6,0.09,11.2,11.8,4,6,1.9,2.8,0.8,4,136,"2024-11-14 21:00",,0.1,7,7,0,121.537778,24.977222,4
萬里,新北市,11,,良好,0.2,0.1,10.2,11.3,4,3,3.8,5.3,1.5,1.2,49,"2024-11-14 21:00",,0.1,3.5,7,0,121.689881,25.179667,3
汐止,新北市,16,,良好,0.3,0.16,5.6,7.0,3,7,8.7,12,3.2,0.4,12,"2024-11-14 21:00",,0.1,5,6,0,121.64081,25.06624,2
基隆,基隆市,11,,良好,0.6,0.11,10,12.0,1,2,2.6,3.8,1.1,1.4,62,"2024-11-14 21:00",,0.1,2,5,0,121.760056,25.129167,1
屏東(枋山),屏東縣,43,,良好,0.4,0.14,47,46.5,51,12,3.7,3.7,0,1.9,40,"2024-11-14 20:00",,0.1,12.9,36,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,15,,良好,0,0.05,11.7,16.9,9,0,2.6,3,0.4,0.4,146,"2024-11-14 20:00",,0,3.1,15,0,121.82463916,24.85366672,312
新北(樹林),新北市,83,細懸浮微粒,普通,1.4,0.8,3.5,14.1,57,39,33.1,49.5,16.4,0,285,"2024-11-14 20:00",,0.4,28.3,48,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,62,細懸浮微粒,普通,0.5,0.18,38,52.9,26,18,5.6,6.3,0.6,0.6,344,"2024-11-14 20:00",,0.1,20.1,35,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,62,細懸浮微粒,普通,0.4,0.21,31.4,41.2,59,29,12.3,13.1,0.7,1.5,8,"2024-11-14 20:00",,0.1,20,46,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,61,細懸浮微粒,普通,1.1,0.54,22.2,38.4,52,35,16.4,17,0.6,0.3,328,"2024-11-14 20:00",,0.2,19.4,41,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,120,細懸浮微粒,對敏感族群不健康,2.9,0.77,13.6,40.6,70,34,24.1,27.8,3.6,0.5,335,"2024-11-14 20:00",,0.5,43,71,1,120.56373,23.96117,201
大城,彰化縣,53,細懸浮微粒,普通,0.6,0.14,33,39.8,31,15,5.8,6.9,1.1,2.4,41,"2024-11-14 20:00",,0.1,16.3,33,0,120.26964167,23.85493056,85
富貴角,新北市,37,,良好,1,0.06,13.8,35.6,14,8,4.2,4.1,0,3.6,48,"2024-11-14 20:00",,0.1,11.4,24,0,121.53656894,25.29681695,84
麥寮,雲林縣,64,細懸浮微粒,普通,1.2,0.17,34.6,40.4,42,13,5.4,6.8,1.3,2.8,3,"2024-11-14 20:00",,0.1,20.7,41,1,120.251825,23.753506,83
關山,臺東縣,23,,良好,1.3,0.16,2.3,5.5,26,4,7,10.9,3.9,1.1,350,"2024-11-14 20:00",,0.1,4,23,1,121.161933,23.045083,80
馬公,澎湖縣,43,,良好,1.4,0.19,36.3,46.8,23,10,3.8,4.2,0.4,3.6,29,"2024-11-14 20:00",,0.2,9.4,26,1,119.566158,23.569031,78
金門,金門縣,44,,良好,1.6,0.29,22.5,46.7,25,12,10.9,11.5,0.6,0.9,98,"2024-11-14 20:00",,0.2,13.6,28,1,118.312256,24.432133,77
馬祖,連江縣,35,,良好,0.9,0.33,20.9,28.8,21,12,8.4,9,0.6,2.6,349,"2024-11-14 20:00",,0.2,10.8,17,0,119.952724,26.153736,75
埔里,南投縣,56,細懸浮微粒,普通,1.4,0.48,1.2,18.9,34,19,18.6,26.9,8.3,0.3,141,"2024-11-14 20:00",,0.3,17.7,25,1,120.967903,23.968842,72
復興,高雄市,69,細懸浮微粒,普通,0.5,0.74,22.6,39.4,41,20,25.7,29.5,3.8,0.7,104,"2024-11-14 20:00",,0.4,22.9,43,0,120.312017,22.608711,71
永和,新北市,15,,良好,,0.17,11.4,10.5,5,3,3.9,5.9,1.9,2.3,104,"2024-11-14 20:00",,0.2,4.5,7,0,121.516306,25.017,70
竹山,南投縣,142,細懸浮微粒,對敏感族群不健康,2.3,0.53,29.3,45.4,123,76,15.4,15.6,0.1,0.6,331,"2024-11-14 20:00",,0.3,51.4,89,1,120.677306,23.756389,69
中壢,桃園市,139,細懸浮微粒,對敏感族群不健康,1.7,1.44,9.3,25.8,99,70,48.6,86,37.4,0.3,27,"2024-11-14 20:00",,1,50.2,74,1,121.221667,24.953278,68
三重,新北市,24,,良好,0.6,0.92,2.9,3.4,9,8,14.1,58.3,44.1,-,-,"2024-11-14 20:00",,0.8,7.3,14,0,121.493806,25.072611,67
冬山,宜蘭縣,18,,良好,0.9,0.08,8.7,11.8,10,3,3.8,5.8,2,2.2,113,"2024-11-14 20:00",,0.1,4.9,18,0,121.792928,24.632203,66
宜蘭,宜蘭縣,15,,良好,0.6,0.13,10.4,10.5,7,1,3.1,4.3,1.2,0.9,103,"2024-11-14 20:00",,0.1,4.7,13,0,121.746394,24.747917,65
陽明,臺北市,13,,良好,0.7,0.09,13.8,14.7,5,0,0.8,1.8,0.9,4.3,160,"2024-11-14 20:00",,0,0.9,8,0,121.529583,25.182722,64
花蓮,花蓮縣,27,,良好,0.8,0.19,7.6,11.9,36,8,4.1,5.5,1.4,1.3,267,"2024-11-14 20:00",,0.1,5.5,27,1,121.599769,23.971306,63
臺東,臺東縣,8,,良好,0.5,0.1,6.2,8.4,5,0,4.1,6.4,2.3,1.8,297,"2024-11-14 20:00",,0.1,1.2,8,0,121.15045,22.755358,62
恆春,屏東縣,12,,良好,0.5,0.09,11.9,13.7,1,1,0.8,1.7,0.9,6,29,"2024-11-14 20:00",,0,1.1,4,0,120.788928,21.958069,61
潮州,屏東縣,70,細懸浮微粒,普通,0.9,0.21,31.8,53.3,58,27,8.5,9,0.5,1.2,126,"2024-11-14 20:00",,0.1,23.4,46,1,120.561175,22.523108,60
屏東,屏東縣,67,細懸浮微粒,普通,1.4,0.52,,,68,35,18.7,19.5,0.8,0.7,116,"2024-11-14 20:00",,0.3,21.8,48,1,120.488033,22.673081,59
小港,高雄市,65,細懸浮微粒,普通,0.9,0.54,19.6,34.8,43,15,28.9,29.9,0.9,1.2,18,"2024-11-14 20:00",,0.3,21.3,54,1,120.337736,22.565833,58
前鎮,高雄市,68,細懸浮微粒,普通,1.4,0.55,26.1,41.9,42,22,22.3,24.5,2.1,1.8,8,"2024-11-14 20:00",,0.3,22.5,46,1,120.30833356,22.6044507,57
前金,高雄市,59,細懸浮微粒,普通,0.8,0.29,27.7,39.1,48,19,24.8,29.1,4.2,1.6,18,"2024-11-14 20:00",,0.2,18.7,53,0,120.28676111,22.63390278,56
左營,高雄市,52,細懸浮微粒,普通,1,0.36,30.4,40.9,42,16,16.4,17.3,0.9,1.2,313,"2024-11-14 20:00",,0.2,15.8,40,0,120.292917,22.674861,54
楠梓,高雄市,59,細懸浮微粒,普通,1.7,0.4,23.8,43.4,64,22,22,23.3,1.3,1,17,"2024-11-14 20:00",,0.2,18.7,53,1,120.328289,22.733667,53
林園,高雄市,68,細懸浮微粒,普通,1.2,0.29,28.1,46.0,61,22,22,22.4,0.3,1.7,50,"2024-11-14 20:00",,0.2,22.4,52,1,120.41175,22.4795,52
大寮,高雄市,77,細懸浮微粒,普通,1.8,0.51,10.4,40.6,37,18,32.7,35.4,2.7,0.3,106,"2024-11-14 20:00",,0.3,26.2,39,2,120.425311,22.56413611,51
鳳山,高雄市,74,細懸浮微粒,普通,1.2,0.67,23,40.6,51,21,21.5,23.3,1.8,0.7,91,"2024-11-14 20:00",,0.6,24.7,50,1,120.357422,22.628126,50
仁武,高雄市,66,細懸浮微粒,普通,1.6,0.46,13.7,40.1,57,27,31.9,32.5,0.5,1.4,334,"2024-11-14 20:00",,0.2,21.7,44,1,120.332631,22.689056,49
橋頭,高雄市,68,細懸浮微粒,普通,1,0.41,22.2,41.4,65,30,21.2,22.6,1.4,1.4,15,"2024-11-14 20:00",,0.2,22.6,51,0,120.305689,22.757506,48
美濃,高雄市,54,細懸浮微粒,普通,0.6,0.24,19.3,39.0,28,10,5.5,6.3,0.8,0.2,16,"2024-11-14 20:00",,0.2,16.9,36,0,120.530542,22.883583,47
臺南,臺南市,69,細懸浮微粒,普通,1.5,0.47,34.5,43.4,59,32,15.9,16.7,0.8,2,6,"2024-11-14 20:00",,0.2,22.9,49,0,120.21947897,22.98928311,46
安南,臺南市,67,細懸浮微粒,普通,0.9,0.33,35.5,44.6,56,31,10.4,11.5,1,1.8,319,"2024-11-14 20:00",,0.2,22.2,47,0,120.2175,23.048197,45
善化,臺南市,72,細懸浮微粒,普通,1.1,0.26,31.2,44.0,59,26,12,13,0.9,1.9,359,"2024-11-14 20:00",,0.1,24,52,1,120.29740529,23.11337642,44
新營,臺南市,90,細懸浮微粒,普通,0.9,0.28,34.2,43.5,64,32,10.6,12.4,1.7,1.2,10,"2024-11-14 20:00",,0.2,31.2,66,0,120.31725,23.305633,43
嘉義,嘉義市,127,細懸浮微粒,對敏感族群不健康,6.1,0.52,27.6,42.3,99,54,19.4,20.4,0.9,2.2,11,"2024-11-14 20:00",,0.3,45.4,84,2,120.44125148,23.46477865,42
臺西,雲林縣,51,細懸浮微粒,普通,1.1,0.19,31.9,40.2,41,15,6.3,7.5,1.1,1.4,32,"2024-11-14 20:00",,0.1,15.5,38,1,120.19933333,23.702175,41
朴子,嘉義縣,66,細懸浮微粒,普通,0.8,0.2,26.1,44.4,49,20,8.4,10,1.5,1.7,339,"2024-11-14 20:00",,0.1,21.6,48,1,120.2478,23.46538,40
新港,嘉義縣,86,細懸浮微粒,普通,1.7,0.18,22.5,44.4,48,23,9.7,10.9,1.2,2.1,315,"2024-11-14 20:00",,0.1,29.6,61,1,120.345531,23.554839,39
崙背,雲林縣,105,細懸浮微粒,對敏感族群不健康,0.8,0.22,20.1,36.9,60,29,8.2,8.5,0.2,0.6,304,"2024-11-14 20:00",,0.2,37.1,70,0,120.348742,23.757547,38
斗六,雲林縣,153,細懸浮微粒,對所有族群不健康,3.8,0.53,34.2,49.7,102,60,16.5,18.2,1.7,2,333,"2024-11-14 20:00",,0.4,58.7,90,1,120.544994,23.711853,37
南投,南投縣,121,細懸浮微粒,對敏感族群不健康,1.1,0.42,29.9,45.2,91,44,21.2,22.1,0.9,0.4,35,"2024-11-14 20:00",,0.3,43.3,76,1,120.685306,23.913,36
二林,彰化縣,79,細懸浮微粒,普通,0.9,0.19,21,42.7,48,13,6.6,7.7,1,1,321,"2024-11-14 20:00",,0.2,26.7,65,1,120.409653,23.925175,35
線西,彰化縣,61,細懸浮微粒,普通,1.1,0.23,23.8,40.4,46,11,9.1,9.8,0.6,1.8,347,"2024-11-14 20:00",,0.1,19.7,47,1,120.469061,24.131672,34
彰化,彰化縣,95,細懸浮微粒,普通,2.7,0.34,5.1,22.9,46,18,27.9,29.1,1.2,0.8,323,"2024-11-14 20:00",,0.3,33.2,61,1,120.541519,24.066,33
西屯,臺中市,117,細懸浮微粒,對敏感族群不健康,1.3,0.47,37.1,38.6,79,40,21.1,22.7,1.6,0.9,336,"2024-11-14 20:00",,0.3,41.5,77,1,120.616917,24.162197,32
忠明,臺中市,111,細懸浮微粒,對敏感族群不健康,1.4,0.58,40.3,41.9,63,40,17.6,19,1.4,1.2,265,"2024-11-14 20:00",,0.4,39.5,65,1,120.641092,24.151958,31
大里,臺中市,132,細懸浮微粒,對敏感族群不健康,2.4,0.56,21.6,40.5,71,47,27.1,29.4,2.3,1,232,"2024-11-14 20:00",,0.4,47.5,75,1,120.67844444,24.09961111,30
沙鹿,臺中市,97,細懸浮微粒,普通,0.7,0.38,20.7,41.8,48,28,16.5,17.7,1.1,1.2,346,"2024-11-14 20:00",,0.3,34.3,68,1,120.568794,24.225628,29
豐原,臺中市,129,細懸浮微粒,對敏感族群不健康,1.3,0.44,22,33.6,87,46,12.9,13.8,0.9,0.6,83,"2024-11-14 20:00",,0.4,46.4,86,1,120.74252414,24.25699731,28
